id	uuid	coa_cd	coa_name	weight	risk_weight_1	risk_weight_2	risk_weight_3	risk_weight_4	risk_weight_5	risk_weight_6	risk_weight_7	risk_weight_8	risk_weight_9	risk_weight_10	risk_weight_11	risk_weight_12	risk_weight_13	risk_weight_14	risk_weight_15	risk_weight_16	risk_weight_17	risk_weight_18	risk_weight_19	risk_weight_20	risk_weight_21	risk_weight_22	risk_weight_23	risk_weight_24
59	19650de4-600d-4cc7-8d13-b677eb3e0617	1_3_1_1_3_2_1_4	金融市场部_交易性地方政府债投资_非司库_交易账户_10Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
60	ac9f5e66-a8e0-4460-9236-0c4659898f95	1_3_1_1_3_2_2_1	金融市场部_交易性地方政府债投资_非司库_银行账户_1Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
61	51ef64a2-d7bd-4578-8e7a-f1f65327d735	1_3_1_1_3_2_2_2	金融市场部_交易性地方政府债投资_非司库_银行账户_3Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
62	efa2182a-f6ff-489a-9ddf-b113c7501398	1_3_1_1_3_2_2_3	金融市场部_交易性地方政府债投资_非司库_银行账户_5Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
63	915d363a-2ff2-4352-a69d-3ce6494ed99b	1_3_1_1_3_2_2_4	金融市场部_交易性地方政府债投资_非司库_银行账户_10Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
64	00b9a58b-09d2-4b15-b93e-968159a3bbb4	1_3_1_1_4_1_1	金融市场部_交易性政策性金融债投资_ 司库_1Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
65	7a0dd959-7706-4e05-85c2-7cb03a9ecf0d	1_3_1_1_4_1_2	金融市场部_交易性政策性金融债投资_ 司库_3Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
66	54cec83a-0cce-43db-a65a-38065ec5be6b	1_3_1_1_4_1_3	金融市场部_交易性政策性金融债投资_ 司库_5Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
67	be69b6d2-c520-4aa3-ad1c-69e2de92b5e6	1_3_1_1_4_1_4	金融市场部_交易性政策性金融债投资_ 司库_10Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
68	e1569515-44ac-423b-9501-d0d89690eab2	1_3_1_1_4_2_1_1	金融市场部_交易性政策性金融债投资_非司库_交易账户_1Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
69	6a3b93cb-a296-462a-9015-f6332b96201d	1_3_1_1_4_2_1_2	金融市场部_交易性政策性金融债投资_非司库_交易账户_3Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
70	5e70f8d5-099f-4423-9869-caadf0dee7ac	1_3_1_1_4_2_1_3	金融市场部_交易性政策性金融债投资_非司库_交易账户_5Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
71	38f5d943-3790-476b-b462-cbecaaedc7a7	1_3_1_1_4_2_1_4	金融市场部_交易性政策性金融债投资_非司库_交易账户_10Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
